State_UT,Year,Month,Temperature_Mean_C,Temperature_Max_C,Temperature_Min_C,Relative_Humidity_Mean,Dew_Point_Mean_C,Precipitation_Sum_mm,Pressure_msl_Mean_hPa,Wind_Speed_kmh,Wind_Direction_Dominant_deg,Wet_Bulb_Temp_C,Heat_Index_C,WBGT_C,Year_numeric,Month_sin,Month_cos,State_Andaman and Nicobar Islands,State_Andhra Pradesh,State_Arunachal Pradesh,State_Assam,State_Bihar,State_Chandigarh,State_Chhattisgarh,State_Dadra and Nagar Haveli and Daman and Diu,State_Delhi,State_Goa,State_Gujarat,State_Haryana,State_Himachal Pradesh,State_Jammu and Kashmir,State_Jharkhand,State_Karnataka,State_Kerala,State_Ladakh,State_Lakshadweep,State_Madhya Pradesh,State_Maharashtra,State_Manipur,State_Meghalaya,State_Mizoram,State_Nagaland,State_Odisha,State_Puducherry,State_Punjab,State_Rajasthan,State_Sikkim,State_Tamil Nadu,State_Telangana,State_Tripura,State_Uttar Pradesh,State_Uttarakhand,State_West Bengal,Alert_Status,Heatwave_Days
Andaman and Nicobar Islands,2014,8,26.616129032258065,27.9,24.9,84.09677419354838,23.712903225806453,220.1,1008.6387096774192,92.62451612903226,227.80645161290323,24.45796853722381,27.785525408326457,28.64332679641928,2014,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,9,26.296666666666667,27.8,24.7,85.03333333333333,23.540000000000003,283.3,1009.49,81.18,242.3,24.278032440716867,26.844165503834155,28.39147674920173,2014,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,10,26.348387096774196,27.9,24.6,82.83870967741936,23.19677419354839,333.9,1010.032258064516,60.45677419354839,144.61290322580646,24.01935777741745,27.013590853784372,28.319143090396025,2014,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,11,26.756666666666668,28.1,25.0,80.76666666666667,23.14333333333333,185.4,1010.2966666666669,71.184,91.56666666666666,24.11620774700036,28.409754423472105,28.58869964457114,2014,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2014,12,26.870967741935484,28.0,25.0,77.83870967741936,22.651612903225807,57.4,1011.2129032258064,81.49935483870968,67.03225806451613,23.80976369490783,28.585713323679087,28.5330758417762,2014,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2015,1,25.87741935483871,27.4,24.1,71.90322580645162,20.306451612903224,63.7,1012.767741935484,64.42838709677419,65.96774193548387,22.006565139630197,26.01006524535763,27.261076874068213,2015,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2015,2,26.11428571428572,27.5,24.4,72.60714285714286,20.760714285714283,4.6,1012.55,65.95714285714286,50.535714285714285,22.346820277936956,26.11428571428572,27.52910036922922,2015,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2015,3,26.916129032258063,28.3,25.0,75.48387096774194,22.161290322580644,5.0,1012.1774193548388,44.814193548387095,151.19354838709677,23.52032716249406,28.86451930817257,28.44493373615049,2015,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2015,4,27.666666666666668,29.4,24.9,76.16666666666667,23.040000000000003,61.8,1010.55,34.248000000000005,125.1,24.3232724169639,30.60946469235258,29.18604605986681,2015,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2015,5,27.616129032258065,29.5,25.6,81.3225806451613,24.074193548387097,297.7,1008.9741935483872,62.57032258064516,220.6451612903226,25.018855720702504,30.91438310227171,29.43075545952641,2015,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
